date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-06-10,0.619471,0.027586436,0.01604354,0.0033276083,0.0041052247,0.09765497,0.065271005,0.039795116,0.009382009,0.044133253,0.0021644034,0.071065485
2022-06-13,0.6194445,0.027590556,0.016046854,0.0033285131,0.004106228,0.09765837,0.065278046,0.039797865,0.00938332,0.04413752,0.0021652007,0.07106302
2022-06-14,0.61951846,0.02758138,0.016035467,0.0033259501,0.0041036503,0.09764607,0.065257914,0.03979263,0.009379814,0.044127513,0.002163006,0.07106805
2022-06-15,0.6194797,0.027587704,0.016046844,0.0033280107,0.0041052005,0.09765579,0.065275654,0.039793625,0.009380914,0.044135295,0.002164851,0.07104636
2022-06-16,0.6195193,0.027578654,0.01604513,0.00332703,0.0041035996,0.09765555,0.065268494,0.039788406,0.009378043,0.044128034,0.002163857,0.0710439
2022-06-17,0.6195463,0.027577017,0.016035618,0.0033254728,0.0041026864,0.09764562,0.06525525,0.039788693,0.009377799,0.0441239,0.0021625885,0.07105904
2022-06-21,0.6195103,0.027582116,0.016046412,0.0033273418,0.0041040466,0.09765524,0.06527159,0.0397895,0.00937864,0.04413078,0.002164258,0.071039766
2022-06-22,0.61959255,0.02757346,0.016041229,0.0033253105,0.0041013616,0.09764647,0.06525883,0.039778627,0.009374033,0.044120688,0.0021626635,0.07102484
2022-06-23,0.6196216,0.027569244,0.016033657,0.0033239222,0.0041002124,0.0976392,0.06524638,0.039778233,0.009373189,0.04411592,0.0021614132,0.071037084
2022-06-24,0.61959624,0.027570127,0.016037336,0.0033248293,0.004100969,0.09764471,0.06525211,0.03978117,0.009374129,0.044118766,0.002162033,0.0710376
2022-06-27,0.61954945,0.02757642,0.016043872,0.0033263876,0.0041025863,0.09765132,0.06526408,0.03978503,0.009376515,0.044125434,0.0021633836,0.07103552
2022-06-28,0.61949515,0.027588347,0.016051082,0.0033281539,0.004104653,0.09765511,0.065278806,0.039789904,0.009379895,0.044135645,0.0021651774,0.07102805
2022-06-29,0.61954415,0.027580982,0.016040301,0.003325996,0.004102827,0.09764548,0.06526097,0.039787214,0.009377976,0.044127353,0.002163268,0.07104343
2022-06-30,0.6195678,0.027575167,0.016035413,0.0033250414,0.004101949,0.09764344,0.0652528,0.039785527,0.009376559,0.04412212,0.0021622824,0.07105194
2022-07-01,0.61953235,0.027579347,0.016040305,0.003326237,0.004103171,0.09764889,0.06526201,0.03978915,0.009378129,0.04412709,0.0021633052,0.071050055
2022-07-05,0.61951256,0.027579263,0.01604497,0.003327103,0.0041037407,0.09765541,0.06526864,0.03979022,0.009378483,0.044128943,0.002163923,0.0710468
2022-07-06,0.6195161,0.027582642,0.016049929,0.0033277168,0.0041039204,0.09765656,0.06527528,0.03978694,0.009378138,0.04413142,0.0021646114,0.07102682
2022-07-07,0.6195262,0.02758041,0.01604445,0.0033268146,0.0041034766,0.097652644,0.06526784,0.039786432,0.009378219,0.04412735,0.0021638232,0.07104224
2022-07-08,0.6194974,0.027585085,0.016054098,0.0033284198,0.0041045467,0.097660355,0.065281734,0.039786976,0.009378915,0.044133715,0.002165276,0.07102346
