date,weight_market,weight_bond
2023-06-30,0.6195897,0.3804103
2023-07-03,0.6195886,0.38041145
2023-07-05,0.6195893,0.3804107
2023-07-06,0.61959034,0.38040957
2023-07-07,0.6195913,0.38040876
2023-07-10,0.61959094,0.38040906
2023-07-11,0.6195901,0.38040987
2023-07-12,0.6195894,0.38041064
2023-07-13,0.6195888,0.38041124
2023-07-14,0.6195888,0.38041124
2023-07-17,0.6195899,0.3804101
2023-07-18,0.6195899,0.3804101
2023-07-19,0.61958945,0.3804105
2023-07-20,0.61958975,0.38041025
2023-07-21,0.61959106,0.38040894
2023-07-24,0.6195909,0.38040912
2023-07-25,0.6195901,0.38040987
2023-07-26,0.61959,0.38040996
2023-07-27,0.61959034,0.3804097
2023-07-28,0.61959136,0.3804086
2023-07-31,0.6195898,0.38041016
2023-08-01,0.61958975,0.38041025
2023-08-02,0.61959076,0.3804092
2023-08-03,0.61959183,0.38040817
2023-08-04,0.6195914,0.38040859
2023-08-07,0.61959076,0.38040924
2023-08-08,0.61958945,0.3804105
2023-08-09,0.6195899,0.3804101
2023-08-10,0.6195908,0.38040918
2023-08-11,0.6195906,0.38040942
2023-08-14,0.6195903,0.38040975
2023-08-15,0.61958957,0.3804105
2023-08-16,0.6195908,0.3804092
2023-08-17,0.61959136,0.38040864
2023-08-18,0.61959124,0.38040876
2023-08-21,0.61959034,0.3804097
2023-08-22,0.6195892,0.3804108
2023-08-23,0.61958957,0.3804104
2023-08-24,0.61958843,0.3804116
2023-08-25,0.61959034,0.3804096
2023-08-28,0.61958957,0.38041046
2023-08-29,0.6195886,0.3804114
2023-08-30,0.61958736,0.38041267
2023-08-31,0.619588,0.38041195
2023-09-01,0.6195894,0.38041064
2023-09-05,0.6195896,0.3804103
2023-09-06,0.6195901,0.38040987
2023-09-07,0.6195906,0.3804094
2023-09-08,0.61959034,0.3804096
2023-09-11,0.6195898,0.3804102
2023-09-12,0.6195889,0.38041115
2023-09-13,0.6195897,0.3804103
2023-09-14,0.61958975,0.38041025
2023-09-15,0.6195888,0.38041115
2023-09-18,0.61959034,0.38040966
2023-09-19,0.6195903,0.38040975
2023-09-20,0.61959004,0.38040996
2023-09-21,0.61959064,0.38040933
2023-09-22,0.61959165,0.38040835
2023-09-25,0.6195906,0.38040942
2023-09-26,0.6195894,0.38041058
2023-09-27,0.61959046,0.3804095
2023-09-28,0.6195901,0.3804099
2023-09-29,0.619589,0.38041103
2023-10-02,0.6195895,0.3804105
2023-10-03,0.61958987,0.38041013
2023-10-04,0.61959106,0.38040894
2023-10-05,0.6195894,0.38041064
2023-10-06,0.6195892,0.38041085
2023-10-09,0.619588,0.38041195
2023-10-10,0.61958766,0.3804123
2023-10-11,0.6195883,0.38041168
2023-10-12,0.61958855,0.38041148
2023-10-13,0.6195899,0.3804101
2023-10-16,0.6195903,0.38040972
2023-10-17,0.6195889,0.38041115
2023-10-18,0.6195889,0.38041106
2023-10-19,0.6195905,0.3804095
2023-10-20,0.61959094,0.3804091
2023-10-23,0.6195911,0.3804089
2023-10-24,0.61959016,0.38040975
2023-10-25,0.6195886,0.38041145
2023-10-26,0.6195903,0.3804097
2023-10-27,0.61959094,0.38040906
2023-10-30,0.6195905,0.3804095
2023-10-31,0.6195882,0.38041183
2023-11-01,0.61958754,0.38041252
2023-11-02,0.6195872,0.38041285
2023-11-03,0.61958605,0.3804139
2023-11-06,0.61958665,0.38041332
2023-11-07,0.61958826,0.38041177
2023-11-08,0.6195886,0.38041136
2023-11-09,0.61958903,0.38041094
2023-11-10,0.61959016,0.38040984
2023-11-13,0.6195879,0.38041213
2023-11-14,0.61958826,0.3804117
2023-11-15,0.6195866,0.38041344
2023-11-16,0.6195876,0.3804123
2023-11-17,0.61958855,0.38041145
2023-11-20,0.6195891,0.38041094
2023-11-21,0.6195886,0.38041133
2023-11-22,0.61958927,0.3804107
2023-11-24,0.6195892,0.38041076
2023-11-27,0.6195896,0.38041034
2023-11-28,0.6195901,0.3804099
2023-11-29,0.61959016,0.38040984
2023-11-30,0.6195903,0.38040975
2023-12-01,0.61959,0.38041
2023-12-04,0.6195894,0.38041064
2023-12-05,0.61959076,0.3804092
2023-12-06,0.6195908,0.3804092
2023-12-07,0.6195911,0.38040894
2023-12-08,0.61959004,0.38040996
2023-12-11,0.61958975,0.3804103
2023-12-12,0.6195898,0.38041016
2023-12-13,0.61959,0.38040996
2023-12-14,0.6195889,0.38041115
2023-12-15,0.61959,0.38041
2023-12-18,0.6195913,0.38040873
2023-12-19,0.61959094,0.38040906
2023-12-20,0.61959034,0.38040957
2023-12-21,0.61959195,0.38040814
2023-12-22,0.61959064,0.38040936
2023-12-26,0.61959016,0.38040987
2023-12-27,0.61959,0.38041
2023-12-28,0.61959016,0.38040987
2023-12-29,0.6195906,0.3804094
2024-01-02,0.61959094,0.38040903
2024-01-03,0.61959136,0.3804086
2024-01-04,0.61959153,0.38040844
2024-01-05,0.6195913,0.38040876
2024-01-08,0.61959034,0.38040957
2024-01-09,0.61958843,0.38041154
2024-01-10,0.61958927,0.3804107
2024-01-11,0.61958945,0.38041055
2024-01-12,0.61958975,0.38041028
2024-01-16,0.6195901,0.38040996
2024-01-17,0.6195908,0.3804092
2024-01-18,0.6195911,0.38040894
2024-01-19,0.6195896,0.38041034
2024-01-22,0.6195882,0.3804118
2024-01-23,0.6195889,0.3804111
2024-01-24,0.61958975,0.3804102
2024-01-25,0.61959016,0.38040984
2024-01-26,0.61958975,0.38041025
2024-01-29,0.61959034,0.3804097
2024-01-30,0.61958957,0.3804104
2024-01-31,0.61959,0.38040996
2024-02-01,0.61959165,0.38040832
2024-02-02,0.61958957,0.38041043
2024-02-05,0.6195884,0.38041162
2024-02-06,0.6195895,0.3804105
2024-02-07,0.61958945,0.3804105
2024-02-08,0.619589,0.380411
2024-02-09,0.61958945,0.38041058
2024-02-12,0.61958927,0.38041073
2024-02-13,0.6195896,0.3804103
2024-02-14,0.61959124,0.38040876
2024-02-15,0.61958945,0.38041058
2024-02-16,0.61958843,0.3804115
2024-02-20,0.6195896,0.38041034
2024-02-21,0.61959034,0.38040957
2024-02-22,0.61959,0.38041
2024-02-23,0.6195872,0.38041288
2024-02-26,0.6195878,0.38041213
2024-02-27,0.6195894,0.38041058
2024-02-28,0.6195894,0.38041064
